x,y,category
8.219343422,1.260656143,0
8.456714109,0.954304853,0
8.416291119,0.084470789,0
7.482611179,1.195610965,0
8.831376646,0.202768997,0
7.894642495,1.048237774,0
8.040413917,0.97443537,0
9.552957637,1.387458522,0
8.672656119,0.533867459,0
8.601710731,0.160263783,0
8.113501212,0.750029216,0
7.847369694,0.593998072,0
8.381010202,0.890966753,0
8.531026136,0.246630303,0
9.264142192,0.008562253,0
7.561688367,0.0222883,0
8.325745971,1.044379287,0
7.241382731,0.035497609,0
9.19943877,0.365784786,0
8.86804801,1.188852413,0
7.929292123,0.598107801,0
8.141529569,0.949123472,0
9.283659576,0.521210254,0
8.374745247,0.869774437,0
8.904015105,0.317213143,0
8.80666911,0.971145141,0
8.354990147,0.313045956,0
7.892976502,1.244575801,0
8.758358364,1.983971212,0
8.555229639,0.22432297,0
7.466698139,0.682846904,0
8.620839871,0.054026199,0
7.920806314,0.212238963,0
8.868582928,0.212437117,0
8.567343476,0.41112513,0
9.097603342,0.333774546,0
8.476654826,0.804794691,0
8.121272433,0.471319947,0
7.857546887,0.395083279,0
8.576361848,1.108125594,0
9.014921636,0.510523525,0
9.588934005,0.449895002,0
7.752057118,1.584539352,0
8.299721758,0.056057985,0
8.118508226,0.537338765,0
8.395487572,0.177040058,0
9.339822077,0.585683926,0
9.740651889,0.396821928,0
8.016241674,1.22171077,0
8.788062063,0.655927228,0
8.010583456,0.214789937,0
7.241795971,1.262488222,0
7.745203683,0.458741649,0
7.9541368,1.128258453,0
8.01122469,0.809777288,0
7.595196161,1.091779935,0
7.984695368,0.979346832,0
8.602539582,0.04502555,0
9.963569536,0.72887646,0
8.895192536,0.592943547,0
6.915224806,1.470724911,0
7.66640335,0.91075914,0
8.910684891,0.592876662,0
9.28750644,0.018016005,0
8.820090344,0.703384034,0
8.439554958,0.331889311,0
7.351833389,1.674935725,0
8.190831593,1.048285098,0
8.940956865,1.362218207,0
8.556415084,0.880862489,0
8.112423254,0.939857651,0
8.761276278,1.04370484,0
7.232007047,0.158245898,0
9.606787892,1.00490504,0
9.116314842,0.156962324,0
9.587790583,0.409524477,0
7.863398581,0.947950094,0
8.364533541,0.448239736,0
8.726543904,0.659808827,0
9.416568715,0.624262683,0
9.068292417,1.157506384,0
8.938999445,0.204145426,0
9.016260366,0.036253808,0
8.175237705,0.109077028,0
9.27069005,0.756841246,0
7.921469899,0.106586999,0
8.770644009,0.843935641,0
7.775917314,0.123659915,0
8.199261071,0.580905857,0
6.972308584,1.069934289,0
8.23330693,0.031239508,0
9.074875281,0.756263275,0
7.665134706,0.204318766,0
8.353645951,0.588948783,0
7.858662569,1.325518455,0
8.747527797,0.299242592,0
8.212277753,1.126556611,0
2.043900729,5.539601689,0
3.06118071,5.81431622,0
3.148358215,5.469482142,0
1.943587707,4.651086848,0
1.50323482,5.447743905,0
2.871750686,4.865081778,0
2.291385306,4.881498751,0
2.22098434,5.125995289,0
1.659206871,5.541445414,0
1.911203379,4.735091226,0
2.235455772,5.189235695,0
2.486675633,5.876255481,0
2.111150974,5.272884271,0
1.650799596,4.200366233,0
1.941362868,4.33957071,0
1.59893212,4.852737957,0
3.40896849,4.126438044,0
3.226898153,4.27498121,0
3.071238732,5.617536585,0
1.750365969,4.710505681,0
1.97557704,3.777990289,0
1.614397894,4.901662196,0
3.316970601,4.3110064,0
2.211093685,4.671740133,0
2.434027814,3.926426431,0
2.137444019,4.555784746,0
1.864826224,4.498189284,0
2.336774433,5.818917511,0
2.722918016,4.951282959,0
2.295378973,4.663323723,0
1.369182591,4.87911857,0
3.148280792,4.35954322,0
